,,20190805-오전,일자-중간1,일자-중간2,일자-마지막,20190807-오전,일자-중간1(점심),일자-중간2,일자-중간3,일자-중간4,일자-중간5,일자-마지막,8/8/2019-오전,일자-중간1,일자-중간2,일자-중간3,일자-중간4,8/9/2019-오전,일자-중간1,일자-중간2,일자-중간3,8/12/2019-오전,일자-중간1,일자-중간2,일자-중간3,일자-중간4,일자-중간5,일자-마지막,8/13/2019-오전,일자-중간1,일자-중간2,일자-중간3,일자-중간4,일자-중간5,일자,8/14/2019-오전,,,,,,,8/16/2019-오전,,,,,8/19/2019-오전,,,,,
마이쭈,복숭아,,,,,,,,,,,,,,,,,,,,,3,2,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
마이쭈,딸기,,,,,,,,,,,,,,,,,,,,,,3,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
롤리폴리,초코,,,,,,,,,,,,,,,,,,,,,,19,15,13,7,5,4,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
칙촉,,,,,,,,,,,,,,,,,,,,,,,12,8,8,3,1,0,12,7,3,0,0,0,0,,,,,,,,,,,,,,,,,,
마이쮸,사과,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,34,25,24,21,20,21,,,,,,,,7,7,1,1,1,,,,,,
마이쮸,포도,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,38,29,27,23,13,13,,,,,,,,8,8,2,2,2,,,,,,
자유시간,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,52,49,47,44,27,21,,,,10,8,7,7,16,16,14,11,3,,,,,,
참쌀이야기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,9,5,3,2,0,0,20,18,18,16,12,11,12,12,12,12,9,7,20,17,16,14,10,0
자가비,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
로투스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,48,47,47,47,33,33,,,,10,9,9,8,28,28,28,28,25,,,,,,
롯데샌드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
스위트 포테이토 크리스피(보라색),,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,44,36,35,32,23,20,,,,15,12,7,7,10,7,5,2,0,,,,,,
포테이토 크리스피,사워크림,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,52,52,49,47,44,38,38,36,37,35,35,35,34,34,32,25,26
쿠크다스,화이트토르테,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,24,24,24,24,21,22,22,21,18,16,15,,,,,,
쿠크다스,비엔나커피,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,36,36,31,29,25
ABC초코쿠키,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,,,,,,,
미니초코칩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,,,,,,,,,,,
초코틴틴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,9,9,0,0,0
아몬드 블라썸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,4,4,1,0
